run_id,sweep_name,problem_name,experiment_name,seed,status,stop_reason,wall_time_s,completed_steps,num_parameters,peak_gpu_mem_mb,final_rel_l2_u,final_rel_l2_v,final_rel_l2_p,final_rel_l2_mean,best_rel_l2_mean,best_step
adam_seed_0016567,v6_rtx4090,kovasznay,adam,16567,finished,time_budget,721.5346406190656,69600,7953,214.5419921875,0.0009605837354897187,0.006080064360230253,0.002964998231481935,0.003335215442400636,0.003335215442400636,69600
adam_seed_0019943,v6_rtx4090,kovasznay,adam,19943,finished,time_budget,720.7023323969916,69600,7953,214.5419921875,0.0010081146962717794,0.013758982764581195,0.001555018480378575,0.005440705313743849,0.0017692853814303404,67800
adam_seed_0029393,v6_rtx4090,kovasznay,adam,29393,finished,time_budget,721.1717360569164,69400,7953,214.5419921875,0.0012775166203196435,0.00626688532701148,0.0024875739068730782,0.0033439919514014005,0.002649868610718826,67000
adam_seed_0030373,v6_rtx4090,kovasznay,adam,30373,finished,time_budget,720.2437660079449,69200,7953,214.5419921875,0.0027295469198561923,0.00514607665277908,0.0013803697038611332,0.0030853310921654686,0.001434658464158219,68400
adam_seed_0005246,v6_rtx4090,kovasznay,adam,5246,finished,time_budget,720.2944378186949,69200,7953,218.365234375,0.0009493107219961737,0.0036391762864481053,0.0017241021254993064,0.002104196377981195,0.0019370896529649058,68600
gnng_dense_v0_seed_0016567,v6_rtx4090,kovasznay,gnng_dense_v0,16567,finished,time_budget,721.1682893349789,400,7953,1617.517578125,3.2987428974098365e-07,1.5676575741841948e-06,6.576775234142521e-07,8.517364624464768e-07,8.517364624464768e-07,400
gnng_dense_v0_seed_0019943,v6_rtx4090,kovasznay,gnng_dense_v0,19943,finished,time_budget,720.2122151968069,400,7953,1617.517578125,4.5232143835140956e-07,2.3737962106436113e-06,1.284513030757454e-06,1.370210226584158e-06,1.370210226584158e-06,400
gnng_dense_v0_seed_0029393,v6_rtx4090,kovasznay,gnng_dense_v0,29393,finished,time_budget,720.416558586061,400,7953,1617.517578125,3.726798949117085e-07,2.7523267783463033e-06,1.258565169374492e-06,1.4611906142108347e-06,1.4611906142108347e-06,400
gnng_dense_v0_seed_0030373,v6_rtx4090,kovasznay,gnng_dense_v0,30373,finished,time_budget,720.1536587527953,400,7953,1617.517578125,2.8104851804355143e-07,1.7552788214432114e-06,8.286221623813909e-07,9.549831672893846e-07,9.549831672893846e-07,400
gnng_dense_v0_seed_0005246,v6_rtx4090,kovasznay,gnng_dense_v0,5246,finished,time_budget,720.9777596197091,400,7953,1617.517578125,3.673494381885514e-07,2.700938604202587e-06,1.2763530051291101e-06,1.4482136825067496e-06,1.4482136825067496e-06,400
gnng_dense_v1_seed_0016567,v6_rtx4090,kovasznay,gnng_dense_v1,16567,finished,time_budget,721.5310830362141,395,7953,1617.517578125,4.7686001003222926e-05,0.0001252495217317663,5.747277200460268e-05,7.68027649131973e-05,7.68027649131973e-05,395
gnng_dense_v1_seed_0019943,v6_rtx4090,kovasznay,gnng_dense_v1,19943,finished,time_budget,721.6862528063357,396,7953,1617.517578125,2.2169176383315655e-05,7.711821053520542e-05,2.730665249680134e-05,4.21980131384408e-05,4.21980131384408e-05,396
gnng_dense_v1_seed_0029393,v6_rtx4090,kovasznay,gnng_dense_v1,29393,finished,time_budget,721.4846639074385,395,7953,1617.517578125,5.371575863227057e-05,0.00021605840294416516,5.5397576203968225e-05,0.00010839057926013465,0.00010839057926013465,395
gnng_dense_v1_seed_0030373,v6_rtx4090,kovasznay,gnng_dense_v1,30373,finished,time_budget,721.7642310597003,395,7953,1617.517578125,3.537671458392093e-05,0.0001290672823276504,3.573268511565344e-05,6.672556067574157e-05,6.672556067574157e-05,395
gnng_dense_v1_seed_0005246,v6_rtx4090,kovasznay,gnng_dense_v1,5246,finished,time_budget,721.6184368953109,396,7953,1617.517578125,1.0762711675721795e-05,5.990419085990023e-05,1.577994554996734e-05,2.8815616028529787e-05,2.8815616028529787e-05,396
gnng_matfree_v0_seed_0016567,v6_rtx4090,kovasznay,gnng_matfree_v0,16567,finished,time_budget,720.5773150823079,1236,7953,1536.81298828125,4.6436003919631587e-07,3.2333589788546985e-06,1.4052520010795753e-06,1.7009903397101966e-06,1.7009903397101966e-06,1236
gnng_matfree_v0_seed_0019943,v6_rtx4090,kovasznay,gnng_matfree_v0,19943,finished,time_budget,720.8496300471015,1200,7953,1536.81298828125,3.019499777330087e-07,2.701041748870815e-06,1.2203240920566844e-06,1.4077719395535026e-06,1.4077719395535026e-06,1200
gnng_matfree_v0_seed_0029393,v6_rtx4090,kovasznay,gnng_matfree_v0,29393,finished,time_budget,721.1615960886702,1206,7953,1536.81298828125,3.5353630774700754e-07,2.730619386009809e-06,1.257306595787595e-06,1.4471540965148038e-06,1.4471540965148038e-06,1206
gnng_matfree_v0_seed_0030373,v6_rtx4090,kovasznay,gnng_matfree_v0,30373,finished,time_budget,720.2207932169549,1185,7953,1536.81298828125,4.6973901210394316e-07,4.394185100139479e-06,1.9785516160512106e-06,2.2808252427648777e-06,2.2808252427648777e-06,1185
